country,fluregion,whoregion,year,tot_cases,B%,AH1%,AH3%,p,q,u,v
Albania,South West Europe,European Region of WHO,2010,143,0.174825174825175,0.706293706293706,0.118881118881119,-0.41256846007969866,1.2599986453212524,0.34249999999999997,0.8175
Albania,South West Europe,European Region of WHO,2011,122,0.196688012295082,0.0001692708333333,0.803142716871585,2.3069949284149485,-5.985508791364086,0.975,0.0175
Albania,South West Europe,European Region of WHO,2012,97,0.783505154639175,0.134020618556701,0.0824742268041237,1.6399643204331107,0.34330586885830977,0.9349999999999999,0.595
Albania,South West Europe,European Region of WHO,2013,156,0.0001645569620253,0.52555452775073,0.474280915287244,-6.546363698881661,0.07258744845285366,0.00125,0.52125
Albania,South West Europe,European Region of WHO,2014,68,0.294117647058824,0.441176470588235,0.264705882352941,-0.122517186828203,0.36120826256878,0.44125,0.6
Albania,South West Europe,European Region of WHO,2015,214,0.47196261682243,0.509345794392523,0.0186915887850467,1.2870430666720885,2.3370257569608297,0.89375,0.9275
Albania,South West Europe,European Region of WHO,2016,234,0.0042727808938746,0.0001692708333333,0.995557948272792,-0.9073392934011514,-6.137374754175452,0.2125,0.00125
Albania,South West Europe,European Region of WHO,2017,352,0.559659090909091,0.431818181818182,0.0085227272727272,1.814220557997643,2.77558378494932,0.94875,0.9575
Albania,South West Europe,European Region of WHO,2018,527,0.0018975332068311,0.829222011385199,0.16888045540797,-4.314600457489343,1.1252167760951193,0.02125,0.7975
Albania,South West Europe,European Region of WHO,2019,445,0.447191011235955,0.17752808988764,0.375280898876404,0.4487334506313574,-0.5293019243102514,0.6725,0.35874999999999996
Argentina,Temperate South America,Region of the Americas of WHO,2010,2095,0.420525059665871,0.0496420047732697,0.529832935560859,0.7779616403942972,-1.6742339758019928,0.78375,0.1675
Argentina,Temperate South America,Region of the Americas of WHO,2011,2117,0.0226735947094946,0.21067548417572,0.766650921114785,-2.3474066444489856,-0.9133787497603929,0.0775,0.28625
Argentina,Temperate South America,Region of the Americas of WHO,2012,3160,0.367088607594937,0.366772151898734,0.266139240506329,0.13163805475737628,0.22678412362884107,0.5549999999999999,0.57125
Argentina,Temperate South America,Region of the Americas of WHO,2013,6721,0.0754352030947776,0.660020830233596,0.264543966671626,-1.397732228701477,0.6464822263917797,0.1575,0.69
Argentina,Temperate South America,Region of the Americas of WHO,2014,2352,0.233843537414966,0.0097789115646258,0.756377551020408,0.8167152602913085,-3.074721235483052,0.79125,0.08750000000000001
Argentina,Temperate South America,Region of the Americas of WHO,2015,2720,0.129411764705882,0.252205882352941,0.618382352941176,-0.9109465037103041,-0.6341766453590267,0.21125,0.33749999999999997
Argentina,Temperate South America,Region of the Americas of WHO,2016,6742,0.114506081281519,0.865470186888164,0.0200237318303174,-0.11387482798462188,2.663214995592438,0.4425,0.94625
Argentina,Temperate South America,Region of the Americas of WHO,2017,6476,0.163681284743669,0.0041692402717727,0.832149474984558,0.8344988568728775,-3.7450342669899483,0.80125,0.055
Argentina,Temperate South America,Region of the Americas of WHO,2018,4817,0.360805480589579,0.555117292920905,0.0840772264895163,0.41876590416612625,1.334624232699451,0.665,0.8275
Argentina,Temperate South America,Region of the Americas of WHO,2019,6585,0.106909643128322,0.509794988610478,0.3832953682612,-1.1589542339130094,0.20166881502702502,0.17500000000000002,0.5625
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2010,1521,0.322813938198554,0.458251150558843,0.218934911242604,0.015497249972127614,0.5222994181590311,0.5075,0.655
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2011,1985,0.241309823677582,0.395465994962217,0.363224181360202,-0.3686162242180299,0.06013559957291841,0.3625,0.5187499999999999
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2012,4781,0.2901066722443,0.0330474796067768,0.676845848148923,0.540973291816559,-2.135107684927447,0.6975,0.135
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2013,2142,0.181139122315593,0.279645191409897,0.53921568627451,-0.6226221384752263,-0.4642820874512477,0.27375,0.37374999999999997
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2014,3501,0.138246215367038,0.503284775778349,0.358469008854613,-0.9164871382878292,0.2399311984823994,0.20625000000000002,0.57375
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2015,3583,0.497348590566564,0.113591962042981,0.389059447390455,0.7031004903664497,-0.870532880346597,0.75375,0.29874999999999996
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2016,6874,0.163660168751818,0.0967413441955193,0.739598487052662,-0.40113009110695275,-1.4383022803431915,0.34625,0.1875
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2017,10589,0.277079988667485,0.143073000283313,0.579847011049202,-0.031642027449659736,-0.9895318079466477,0.4875,0.26249999999999996
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2018,5652,0.0521939136588818,0.608811040339703,0.338995046001415,-1.7667196461625314,0.4140268929992094,0.115,0.62125
Australia,Oceania Melanesia Polynesia,Western Pacific Region of WHO,2019,12963,0.152356707552264,0.115713955102985,0.73192933734475,-0.528418686981999,-1.3043028176394897,0.30124999999999996,0.21
